assignee,count
International Business Machines Corporation,7
Siemens Healthcare Gmbh,2
Elmos Semiconductor Aktiengesellschaft,2
HQS Quantum Simulations GmbH,2
Akhetonics GmbH,1
"Technische Universität Kaiserslautern, Körperschaft des öffentlichen Rechts",1
Universität Paderborn,1
Universität Stuttgart,1
Zf Friedrichshafen Ag,1
"Tobias Fobbe, Nathan Jukam",1
Siemens Aktiengesellschaft,1
Schlumberger Technology B.V.,1
Bernd Burchard,1
Deutsche Telekom Ag,1
Elmos Semiconductor Se,1
Forschungsverbund Berlin E.V.,1
Forschungszentrum Jülich GmbH,1
Fujitsu Technology Solutions Intellectual Property Gmbh,1
Globalfoundries Inc.,1
Globalfoundries U.S. Inc.,1
"Gottfried Wilhelm Leibniz Universität Hannover, Körperschaft des öffentlichen Rechts",1
"Heinz Joachim Jacoby, Dorothea Hedwig Agnes Jacoby",1
Huga Optotech Inc.,1
Intel Corporation,1
Joyson Safety Systems Acquisition Llc,1
Karlheinz Mayer,1
MAX-PLANCK-Gesellschaft zur Förderung der Wissenschaften e.V.,1
Metaio Gmbh,1
Quantum Technologies Gmbh,1
Quantum Technologies UG (haftungsbeschränkt),1
"Ruhr-Universität Bochum, Körperschaft des öffentlichen Rechts",1
BAM Bundesanstalt für Materialforschung und -prüfung,1
