assignee,count
Northrop Grumman Systems Corporation,22
Google LLC,10
"Microsoft Technology Licensing, LLC",10
"Samsung Electronics Co., Ltd.",9
International Business Machines Corporation,9
AT&T Corp.,5
Deutsche Telekom AG,5
Canon Kabushiki Kaisha,4
"Cree, Inc.",4
Intel Corporation,4
General Electric Company,4
Nokia Technologies Oy,4
The Boeing Company,4
Commissariat A L'energie Atomique,3
"Qubitekk, Inc.",3
"Hewlett-Packard Development Company, L.P.",3
Qualcomm Incorporated,3
"Rigetti & Co., Inc.",3
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,3
Forschungszentrum Jülich GmbH,3
France Telecom,3
"Matsushita Electric Industrial Co., Ltd.",3
Nanoco Technologies Ltd,3
Merck Patent GmbH,3
Koninklijke Philips N.V.,3
Kabushiki Kaisha Toshiba,3
Alcatel Lucent,3
Xerox Corporation,3
Apple Inc.,3
ASML Netherlands B.V.,3
Isis Innovation Limited,2
KLA-Tencor Corporation,2
Koninklijke Philips Electronics N.V.,2
Michele Reilly,2
"LG Display Co., Ltd.",2
Lockheed Martin Corporation,2
Lumileds Holding B.V.,2
"Huawei Technologies Co., Ltd.",2
BlackBerry Limited,2
"D-Wave Systems, Inc.",2
D-Wave Systems Inc.,2
Element Six Technologies Limited,2
"Cisco Technology, Inc.",2
Corning Incorporated,2
Commissariat à l'énergie atomique et aux énergies alternatives,2
"Agilent Technologies, Inc.",2
Hughes Aircraft Company,2
Thomson-Csf,2
Alibaba Group Holding Limited,2
"BOE Technology Group Co., Ltd.",2
"Facebook Technologies, LLC",2
"Fundació Institut de Ciències Fotòniques, Institució Catalana de Recerca I Estudis Avançats",2
Forskningscenter Riso,2
Nektar Therapeutics,2
"Nanosys, Inc.",2
Nec Corporation,2
Robert Bosch GmbH,2
PerkinElmer Singapore Pte. Ltd.,2
"Quantum Magnetics, Inc.",2
Sony Semiconductor Solutions Corporation,2
Oxford University Innovation Limited,2
Siemens Aktiengesellschaft,2
Veriqloud,2
"Samsung Display Co., Ltd., SNU R & DB Foundation",2
"Hand Held Products, Inc.",1
Heliovolt Corporation,1
"Hewlett-Packard Development Company, L.P., Inter-University Research Institute Corporation Research Organization of Information and Systems",1
Hitachi High-Technologies Corporation,1
Hitachi Ltd.,1
"Hitachi, Ltd.",1
Huntington Alloys Corporation,1
Hydro-Québec,1
ID Quantique S.A.,1
INTEL Corporation,1
"Illumina, Inc., Illumina France S.A.R.L.",1
Imec Vzw,1
"Imec, Katholieke Universiteit Leuven (KUL)",1
"Imec, Nxp B.V.",1
"Imperial College Of Science, Technology & Medicine",1
Indiana University Research and Technology Corporation,1
Industry-Academia Cooperation Group of Sejong University,1
InfraRed Integrated Systems Limited,1
Institut Mines Telecom,1
