assignee,count
合肥本源量子计算科技有限责任公司,117
中国科学技术大学,40
中南大学,39
清华大学,39
哈尔滨工程大学,38
北京百度网讯科技有限公司,37
西安电子科技大学,37
苏州大学,32
南京大学,30
如般量子科技有限公司,27
成都信息工程大学,26
科大国盾量子技术股份有限公司,25
北京邮电大学,24
南京邮电大学,22
上海交通大学,22
华南师范大学,21
国际商业机器公司,20
"南京如般量子科技有限公司, 如般量子科技有限公司",18
北京大学,18
电子科技大学,15
北京航空航天大学,15
中国人民解放军国防科技大学,14
"如般量子科技有限公司, 南京如般量子科技有限公司",14
东南大学,14
三星电子株式会社,14
中国科学院上海技术物理研究所,14
中国人民解放军战略支援部队信息工程大学,13
中国电子科技集团公司第三十研究所,13
中国科学院上海微系统与信息技术研究所,13
中国科学院半导体研究所,13
北京中创为南京量子通信技术有限公司,13
华中科技大学,13
浙江工商大学,12
山西大学,12
浙江大学,11
吉林大学,11
西北大学,10
中国科学院物理研究所,10
四川大学,10
国开启科量子技术(北京)有限公司,10
重庆邮电大学,10
上海循态信息科技有限公司,10
谷歌有限责任公司,10
北京理工大学,10
腾讯科技（深圳）有限公司,10
天津大学,10
华南理工大学,9
华东师范大学,9
太原理工大学,9
Tcl科技集团股份有限公司,9
山东浪潮科学研究院有限公司,9
广东国腾量子科技有限公司,9
安徽问天量子科技股份有限公司,9
哈尔滨工业大学,8
Iqm芬兰有限公司,8
华为技术有限公司,8
广西师范大学,8
西安交通大学,8
福州大学,8
国仪量子(合肥)技术有限公司,8
中国电子科技集团公司电子科学研究院,8
复旦大学,7
杭州电子科技大学,7
浪潮集团有限公司,7
南方电网数字电网研究院有限公司,7
浙江九州量子信息技术股份有限公司,7
材料科学姑苏实验室,7
华东交通大学,7
中国科学院上海光学精密机械研究所,7
国科量子通信网络有限公司,6
中国计量科学研究院,6
合肥工业大学,6
南方科技大学,6
深圳大学,6
D-波系统公司,6
高通股份有限公司,6
Id量子技术公司,6
纳晶科技股份有限公司,6
"国开启科量子技术(北京)有限公司, 启科量子技术(珠海)有限公司",6
三峡大学,6
南京科信量子科技有限公司,6
南京航空航天大学,6
京东方科技集团股份有限公司,6
"国开启科量子技术(北京)有限公司, 广东启科量子信息技术研究院有限公司",5
中电信量子科技有限公司,5
五邑大学,5
武汉大学,5
安徽量子通信技术有限公司,5
浙江神州量子网络科技有限公司,5
浙江工业大学,5
暨南大学,5
济南大学,5
中诚华隆计算机技术有限公司,4
中国科学院国家授时中心,4
中国联合网络通信集团有限公司,4
中山大学,4
大连海事大学,4
中国科学院信息工程研究所,4
"上海循态量子科技有限公司, 上海交通大学",4
济南量子技术研究院,4
武汉理工大学,4
昆明理工大学,4
广东工业大学,4
山东师范大学,4
深圳量旋科技有限公司,4
长春大学,4
军事科学院系统工程研究院网络信息研究所,4
英特尔公司,4
南京工业职业技术大学,4
华中师范大学,4
苏州浪潮智能科技有限公司,4
科磊股份有限公司,4
"科大国盾量子技术股份有限公司, 上海国盾量子信息技术有限公司",4
南京信息工程大学,4
南京工业大学,4
中国计量大学,3
华东计算技术研究所（中国电子科技集团公司第三十二研究所）,3
中国科学院长春光学精密机械与物理研究所,3
"南京大学, 矩阵时光数字科技有限公司",3
中国科学院苏州纳米技术与纳米仿生研究所,3
