assignee,count
경희대학교 산학협력단,24
한국과학기술연구원,16
한국과학기술원,13
삼성전자주식회사,13
서울시립대학교 산학협력단,12
노스롭 그루먼 시스템즈 코포레이션,9
엘지디스플레이 주식회사,9
한국전자통신연구원,9
채령,8
고려대학교 산학협력단,8
한양대학교 에리카산학협력단,8
한국표준과학연구원,5
한양대학교 산학협력단,5
인터내셔널 비지네스 머신즈 코포레이션,5
후지필름 가부시키가이샤,4
충북대학교 산학협력단,4
포항공과대학교 산학협력단,4
주식회사 한솔케미칼,4
재단법인서울대학교산학협력재단,4
국방과학연구소,4
인텔 코포레이션,3
엘지전자 주식회사,3
"에이디씨 테라퓨틱스 에스에이, 메디뮨 리미티드",3
아이디 퀀티크 에스.에이.,3
부산대학교 산학협력단,3
나노코 테크놀로지스 리미티드,3
구글 엘엘씨,3
국민대학교산학협력단,3
서울대학교산학협력단,2
성균관대학교산학협력단,2
세종대학교산학협력단,2
연세대학교 산학협력단,2
울산과학기술원,2
삼성전자 주식회사,2
삼성디스플레이 주식회사,2
"블랙모어 센서스 앤드 애널리틱스, 엘엘씨",2
광주과학기술원,2
금오공과대학교 산학협력단,2
김부열,2
더 리전트 오브 더 유니버시티 오브 캘리포니아,2
더 차이니즈 유니버시티 오브 홍콩,2
재단법인대구경북과학기술원,2
홍익대학교 산학협력단,2
케이엘에이 코포레이션,2
전북대학교산학협력단,2
주식회사 아모그린텍,2
주식회사 하이닉스반도체,2
티씨제트 엘엘씨,2
"서울대학교산학협력단, 주식회사 나노스퀘어",1
"소리오 루시아노, 셀콤 에스. 피. 에이.",1
"소마로직 오퍼레이팅 컴퍼니, 인코포레이티드",1
"소마로직, 인크.",1
소에이 가가쿠 고교 가부시키가이샤,1
"스카이워크스 솔루션즈, 인코포레이티드",1
시냅틱스 인코포레이티드,1
시옷랩주식회사,1
쓰추안 날리지 익스프레스 인스티튜트 포 이노베이티브  테크놀로지스 컴퍼니 리미티드,1
아날로그 디바이시즈 글로벌 언리미티드 컴퍼니,1
아레바 엔피,1
"아메리칸 텔리폰 앤드 텔레그라프 캄파니, 사무엘 에이취. 드워츠키",1
아실럼 리서치 코포레이션,1
아이디 퀀티크 에스. 에이.,1
"아코 세미컨덕터, 인크",1
안드레이 보리소비치 루빈,1
"어드밴스드 마이크로 디바이시즈, 인코포레이티드",1
에스케이바이오랜드 주식회사,1
에스케이텔레콤 주식회사,1
에이에스엠엘 네델란즈 비.브이.,1
센스에어 아베,1
"서울대학교산학협력단, 기초과학연구원",1
연세대학교 원주산학협력단,1
서강대학교산학협력단,1
"마이크론 테크놀로지, 인크",1
미쓰비시 가가꾸 가부시키가이샤,1
미쓰이 가가쿠 가부시키가이샤,1
"미쯔비시덴끼 가부시끼가이샤, 시기 모리야",1
"바 래버러토리즈, 인코포레이티드",1
벽산파워 주식회사,1
보에 테크놀로지 그룹 컴퍼니 리미티드,1
부경대학교 산학협력단,1
사우스 차이나 노멀 유니버시티,1
"삼성디스플레이 주식회사, 홍익대학교 산학협력단",1
삼성에스디아이 주식회사,1
삼성엘이디 주식회사,1
"삼성전자주식회사, 광주과학기술원",1
"삼성전자주식회사, 더 리전츠 오브 더 유니버서티 오브 캘리포니아",1
"삼성전자주식회사, 더 리전트 오브 더 유니버시티 오브 캘리포니아",1
"삼성전자주식회사, 삼성에스디아이 주식회사",1
"삼성전자주식회사, 삼성에스디아이 주식회사, 삼성디스플레이 주식회사",1
"상뜨르 나쇼날 드 라 러쉐르쉬 샹띠피끄, 유니베르시떼 파리스 쉬드 (파리스 11)",1
새솔테크 주식회사,1
에프. 호프만-라 로슈 아게,1
오츠카 일렉트로닉스 가부시키가이샤,1
