assignee,count
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КуРэйт"" (ООО ""КуРэйт"")",5
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный университет имени М.В. Ломоносова"" (МГУ)",4
"Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ",2
Телефонактиеболагет Лм Эрикссон (Пабл),2
"Открытое Акционерное Общество ""Информационные Технологии И Коммуникационные Системы""",2
Общество с ограниченной ответственностью «Международный центр квантовой оптики и квантовых вычислений» (ООО «МЦКТ»),2
"Общество с ограниченной ответственностью ""СМАРТС-Кванттелеком""",2
"Акционерное Общество ""Информационные Технологии И Коммуникационные Системы""",2
"Государственное образовательное учреждение высшего профессионального образования ""Таганрогский государственный радиотехнический университет"" (ТРТУ)",2
Квэлкомм Инкорпорейтед,2
Конинклейке Филипс Н.В.,2
МЕРК ШАРП И ДОУМ ЭлЭлСи,2
Федеральное государственное унитарное предприятие Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт эксперементальной физики,1
Физико-технический институт им.А.Ф.Иоффе РАН,1
Фиске Софтваре Ллс,1
Фраунхофер-Гезелльшафт цур Фёрдерунг дер ангевандтен Форшунг Е.Ф.,1
"Хьюлетт-Паккард Дивелопмент Компани, Л.П.",1
Эмори Юниверсити,1
Эндресс+Хаузер Гмбх+Ко.Кг,1
Юниверсити Оф Теннесси Рисерч Фаундэйшн,1
"федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"" (Университет ИТМО)",1
"федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный политехнический университет"" (ФГАОУ ВО ""СПбПУ"")",1
"федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Нижегородский государственный университет им. Н.И. Лобачевского""",1
"федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский национальный исследовательский технический университет"" (ФГБОУ ВО ""ИРНИТУ"")",1
"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство)""",1
"Федеральное государственное унитарное предприятие ""Научно-исследовательский институт прикладной акустики""",1
"Федеральное государственное унитарное предприятие ""Всероссийский научно-исследовательский институт метрологии им. Д.И. Менделеева""",1
Федеральное государственное бюджетное учреждение науки Физико-технологический институт Российской академии наук,1
"Государственное образовательное учреждение высшего профессионального образования ""Московский автомобильно-дорожный институт"" (Государственный технический университет)",1
ДАУ АГРОСАЙЕНСИЗ ЭлЭлСи,1
"Дженентек, Инк.",1
Елена Андреевна Чирясова,1
"Закрытое Акционерное Общество ""Время-Ч""",1
Институт геохимии им.А.П.Виноградова СО РАН,1
Институт динамики систем и теории управления Сибирского отделения Российской академии наук (ИДСТУ СО РАН),1
Интернэшнл Бизнес Машинз Корпорейшн,1
Кавокин Алексий Витальевич,1
Коммиссариат А Л` Энержи Атомик Э Оз Энержи Альтернатив,1
Конинклейке Филипс Электроникс Н.В.,1
"Корниенко Анатолий Адамович, Куренков Евгений Владимирович, Куштейко Григорий Павлович",1
Корнинг Инкорпорейтед,1
Кэнон Кабусики Кайся,1
Летно-исследовательский институт им.М.М.Громова,1
Либэль-Фларшайм Кампани ЭлЭлСи,1
Люмиледс Холдинг Б.В,1
МОЛ Мадьяр Олай- еш Газипари Ресвеньтаршашаг,1
Научно-исследовательское учреждение Институт физики им. Л.В. Киренского Сибирского отделения РАН,1
