assignee,count
International Business Machines Corporation,310
Intel Corporation,90
"Microsoft Technology Licensing, Llc",63
"Samsung Electronics Co., Ltd.",59
D-Wave Systems Inc.,56
Kabushiki Kaisha Toshiba,38
Massachusetts Institute Of Technology,35
The Regents Of The University Of California,33
California Institute Of Technology,29
The United States Of America As Represented By The Secretary Of The Army,24
Google Llc,24
"Advanced Micro Devices, Inc.",23
"Red Hat, Inc.",22
Texas Instruments Incorporated,22
"Micron Technology, Inc.",21
Marvell International Ltd.,21
President And Fellows Of Harvard College,20
Fujitsu Limited,20
"Amazon Technologies, Inc.",20
"Hitachi, Ltd.",20
"Wells Fargo Bank, N.A.",19
"Rigetti & Co, Inc.",19
Electronics And Telecommunications Research Institute,15
Wisconsin Alumni Research Foundation,14
The United States Of America As Represented By The Secretary Of The Navy,14
At&T Bell Laboratories,13
"Boe Technology Group Co., Ltd.",13
The Boeing Company,13
Microsoft Corporation,13
Bank Of America Corporation,13
equal1.labs Inc.,13
Apple Inc.,13
"Rigetti & Co, Llc",13
Qualcomm Incorporated,12
"D-Wave Systems, Inc.",12
Seiko Epson Corporation,12
The Johns Hopkins University,12
Commissariat A L'energie Atomique Et Aux Energies Alternatives,12
"At&T Intellectual Property I, L.P.",12
Xerox Corporation,12
"Zapata Computing, Inc.",12
"Hewlett-Packard Development Company, L.P.",12
Northrop Grumman Systems Corporation,12
Sony Corporation,11
"Samsung Display Co., Ltd.",11
The Board Of Trustees Of The Leland Stanford Junior University,11
Yale University,11
Nec Corporation,11
"National Technology & Engineering Solutions Of Sandia, Llc",11
"Cisco Technology, Inc.",11
Hughes Aircraft Company,11
The Regents Of The University Of Michigan,10
The United States Of America As Represented By The Secretary Of The Air Force,10
Lg Electronics Inc.,10
Canon Kabushiki Kaisha,10
"IonQ, Inc.",10
Siemens Aktiengesellschaft,10
"Taiwan Semiconductor Manufacturing Company, Ltd.",10
"Magiq Technologies, Inc.",10
"Synopsys, Inc.",9
Schlumberger Technology Corporation,9
Sharp Kabushiki Kaisha,9
Bbn Technologies Corp.,9
"The United States Of America, As Represented By The Secretary Of The Navy",9
Lucent Technologies Inc.,8
Alibaba Group Holding Limited,8
"Huawei Technologies Co., Ltd.",8
"Lg Display Co., Ltd.",8
"Applied Materials, Inc.",8
General Electric Company,8
"Matsushita Electric Industrial Co., Ltd.",8
Bull Sas,7
"University Of Maryland, College Park",7
University Of Seoul Industry Cooperation Foundation,7
Commissariat A L'energie Atomique,7
Northwestern University,7
"Nanosys, Inc.",7
Aptina Imaging Corporation,7
Sandia Corporation,7
"Genentech, Inc.",7
"Halliburton Energy Services, Inc.",7
QC Ware Corp.,7
Northrop Grumman Corporation,7
Hi Llc,6
Baker Hughes Incorporated,6
Zyomed Corp.,6
Raytheon Bbn Technologies Corp.,6
PsiQuantum Corp.,6
Corning Incorporated,6
Nektar Therapeutics,6
"Psiquantum, Corp.",6
"Lawrence Livermore National Security, Llc",6
"Shenzhen China Star Optoelectronics Technology Co., Ltd.",6
National Research Council Of Canada,6
Id Quantique Sa,6
Classiq Technologies LTD.,6
"Los Alamos National Security, Llc",5
University Of South Florida,5
Eastman Kodak Company,5
"Hrl Laboratories, Llc",5
Honeywell International Inc.,5
"Ut-Battelle, Llc",5
Japan Science And Technology Agency,5
King Fahd University Of Petroleum And Minerals,5
Kla-Tencor Corporation,5
"Faro Technologies, Inc.",5
Korea Advanced Institute Of Science And Technology,5
"Facebook Technologies, Llc",5
Atomera Incorporated,5
Raytheon Company,5
"Motorola, Inc.",5
Mitsubishi Denki Kabushiki Kaisha,5
Stc.Unm,5
British Telecommunications Public Limited Company,5
"Quantum Design, Inc.",5
Qinetiq Limited,5
"Bell Communications Research, Inc.",5
"Taiwan Semiconductor Manufacturing Co., Ltd.",5
"Omnivision Technologies, Inc.",5
1Qb Information Technologies Inc.,5
Sandisk Technologies Inc.,5
"Nxgen Partners Ip, Llc",5
The United States Of America As Represented By The United States Department Of Energy,5
3M Innovative Properties Company,5
"Ofinno, Llc",5
Nokia Technologies Oy,5
"American Telephone And Telegraph Company, At&T Bell Laboratories",5
"Nec Laboratories America, Inc.",4
Quantum Machines,4
Nikon Corporation,4
North Carolina State University,4
Accenture Global Solutions Limited,4
Nippon Telegraph And Telephone Corporation,4
Purdue Research Foundation,4
Hexagon Technology Center Gmbh,4
Hewlett-Packard Company,4
"Invisage Technologies, Inc.",4
New York University,4
"Semiconductor Energy Laboratory Co., Ltd.",4
Verizon Patent And Licensing Inc.,4
"Ventana Medical Systems, Inc.",4
The Trustees Of Dartmouth College,4
Drexel University,4
Varian Associates,4
Lockheed Martin Corporation,4
Mayo Foundation For Medical Education And Research,4
The University Of Connecticut,4
University Of Washington Through Its Center For Commercialization,4
Marvell World Trade Ltd.,4
Lsi Logic Corporation,4
"University Of Central Florida Research Foundation, Inc.",4
The Mitre Corporation,4
Merck Patent Gmbh,4
"Board Of Regents, The University Of Texas System",4
John A. Nix,4
Kla Corporation,4
Westinghouse Electric Corp.,4
National Institute Of Advanced Industrial Science And Technology,4
"Molecular Probes, Inc.",4
Stmicroelectronics S.R.L.,4
"Cree, Inc.",4
Asml Netherlands B.V.,3
"Rovi Guides, Inc.",3
Nortel Networks Limited,3
"Samsung Electronics Co., Ltd",3
Wallac Oy,3
"Samsung Research America, Inc.",3
"Samsung Sds Co., Ltd.",3
"Wafertech, Llc",3
Sandisk Technologies Llc,3
"Vital Connect, Inc.",3
"Sensys Medical, Inc.",3
Novartis Ag,3
Robert R. Tucci,3
Asahi Kasei Microdevices Corporation,3
Zygo Corporation,3
Open Text Sa Ulc,3
Zhengbiao OUYANG,3
Palo Alto Research Center Incorporated,3
Panasonic Corporation,3
Alcatel Lucent,3
Ahp-Tech Inc.,3
"Aeva, Inc.",3
Yahoo! Inc.,3
"Picarro, Inc.",3
"1087 Systems, Inc.",3
"Qd Vision, Inc.",3
X Development Llc,3
Research & Business Foundation Sungkyunkwan University,3
Wesley W. O. Krueger,3
Robert Bosch Gmbh,3
Industrial Technology Research Institute,3
"Sk Telecom Co., Ltd.",3
University Of Houston,3
The Trustees Of The University Of Pennsylvania,3
"Vencore Labs, Inc.",3
"University Of Maryland, College Park, IonQ, Inc.",3
The Trustees Of Columbia University In The City Of New York,3
The Penn State Research Foundation,3
University Of Copenhagen,3
Universal Display Corporation,3
Trustees Of Tufts College,3
Trw Inc.,3
"The Nielsen Company (Us), Llc",3
Sri International,3
Vanderbilt University,3
University Of Washington,3
University Of Virginia Patent Foundation,3
University Of Utah Research Foundation,3
University Of Southern California,3
The Board Of Trustees Of The University Of Illinois,3
The General Hospital Corporation,3
The Governing Council Of The University Of Toronto,3
"The Government Of The United States Of America, As Represented By The Secretary Of The Navy",3
The Hong Kong University Of Science And Technology,3
Nanoco Technologies Ltd.,3
Korea Institute Of Science And Technology,3
"Daiichi Sankyo Company, Limited",3
Nanjing University,3
Koninklijke Philips N.V.,3
"Hound Labs, Inc.",3
Hitachi High-Technologies Corporation,3
Finisar Corporation,3
"Carestream Health, Inc.",3
Dolby Laboratories Licensing Corporation,3
Gte Laboratories Incorporated,3
"Mitsubishi Electric Research Laboratories, Inc.",3
Goldman Sachs & Co. LLC,3
Fraunhofer-Gesellschaft Zur Foerderung Der Angewandten Forschung E.V.,3
"ColdQuanta, Inc.",3
Chikayoshi Sumi,3
Facense Ltd.,3
ISARA Corporation,3
Life Technologies Corporation,3
Bertec Limited,3
"Biomagnetic Technologies, Inc.",3
Korea University Research And Business Foundation,3
"Lg Innotek Co., Ltd.",3
Korea Research Institute Of Standards And Science,3
National Semiconductor Corporation,3
"Li-Cor, Inc.",3
"Eagle Technology, Llc",3
"Kateeva, Inc.",2
The Administrators Of The Tulane Educational Fund,2
"Fujitsu Limited, The University Of Tokyo",2
Labrador Diagnostics Llc,2
France Telecom Etablissement Autonome De Droit Public,2
"The Charles Stark Draper Laboratory, Inc.",2
"Freescale Semiconductor, Inc.",2
Soochow University,2
"Kandou Labs, S.A.",2
"The Board Of Trustees Of The University Of Illinois, Duke University",2
Fujifilm Business Innovation Corp.,2
France Telecom,2
"The Board Of Trustees Of The Leland Stanford Junior University, Ramot At Tel Aviv University Ltd.",2
"Fuji Electric Co., Ltd.",2
"Spectrasensors, Inc.",2
"Fracture ID, Inc.",2
Thales,2
"Stmicroelectronics, Inc.",2
Taiwan Semiconductor Manufacturing Company,2
"Stanley Electric Co., Ltd.",2
Tdk Corporation,2
Koza John R,2
Technion Research & Development Foundation Limited,2
Forskningscenter Riso,2
Tencent Technology (Shenzhen) Company Limited,2
Texas A&M University System,2
The Chinese University Of Hong Kong,2
Beit Inc.,2
"The Florida State University Research Foundation, Inc.",2
"Icontrol Networks, Inc.",2
Thomson-Csf,2
The University Of Toledo,2
ID Quantique,2
"Hyundai Electronics Industries Co., Ltd.",2
The University Of North Carolina At Chapel Hill,2
The University Of Hong Kong,2
The University Of Chicago,2
Huawei Technologies Duesseldorf Gmbh,2
"Institute of Microelectronics, Chinese Academy of Sciences",2
Id Quantique S.A.,2
Kabushiki Kaisha Topcon,2
Impedimed Limited,2
Institut Mines-Telecom,2
"Imec, Katholieke Universiteit Leuven, K.U. Leuven R&D",2
Tucci Robert R,2
"Tuatara QRNG, LLC",2
"Tsinghua University, Institute Of Physics, Chinese Academy Of Sciences",2
"Imec, Katholieke Universiteit Leuven",2
Imec Vzw,2
"Triad National Security, Llc",2
Tom Beaumont,2
Horiba Abx Sas,2
The Royal Institution For The Advancement Of Learning/Mcgill University,2
"The Regents Of The University Of Colorado, A Body Corporate",2
Globalfoundries Inc.,2
Gideon Samid,2
Japan Display Inc.,2
The Methodist Hospital System,2
Joseph Reid Henrichs,2
"Jpmorgan Chase Bank, N.A.",2
"Glumetrics, Inc.",2
"Isetex, Inc",2
The United States Of America As Represented By Secretary Of The Navy,2
Hitachi Global Storage Technologies Netherlands B.V.,2
"Government Of The United States Of America, As Represented By The Secretary Of Commerce",2
"Intwine Connect, Llc",2
The Trustees Of Princeton University,2
Inview Technology Corporation,2
Hamamatsu Photonics K.K.,2
Georgia Tech Research Corporation,2
Eocell Ltd,2
Carl Zeiss Smt Gmbh,2
Agency For Defense Development,2
Carl Zeiss Meditec Ag,2
"Air Products And Chemicals, Inc.",2
Alfred E. Mann Institute For Biomedical Engineering At The University Of Southern California,2
"Cardiac Pacemakers, Inc.",2
"Canesta, Inc.",2
"Alliance For Sustainable Energy, Llc",2
Pacific Light Technologies Corp.,2
Altera Corporation,2
"Anametric, Inc.",2
Andas Inc.,2
"Cable Television Laboratories, Inc.",2
Affectomatics Ltd.,2
Pfizer Inc.,2
Emory University,2
Adesto Technologies Corporation,2
"Quantum Benchmark, Inc.",2
Centre National De La Recherche Scientifique,2
"Quantum Applied Science & Research, Inc.",2
Quantala LLC,2
QuNu Labs Private Ltd,2
Carol Y. Scarlett,2
1372934 B.C. Ltd,2
"7Tunnels, Inc.",2
Abl Ip Holding Llc,2
Carnegie Mellon University,2
Abu Dhabi University,2
"Ansible, Inc.",2
"Applied Optoelectronics, Inc.",2
"Olympus Optical Co., Ltd.",2
Olympus Corporation,2
Au Optronics Corporation,2
Neal Solomon,2
Avago Technologies Ecbu Ip (Singapore) Pte. Ltd.,2
Blackberry Limited,2
Bae Systems Information And Electronic Systems Integration Inc.,2
"Bio-Rad Laboratories, Inc.",2
Bertec Corporation,2
Nichia Corporation,2
"Beijing Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.",2
"Beijing Boe Technology Development Co., Ltd.",2
Nextiles Inc.,2
"Beijing Bytedance Network Technology Co., Ltd.",2
Nova Measuring Instruments Ltd.,2
Board Of Trustees Of The University Of Arkansas,2
At&T Mobility Ii Llc,2
Brown University,2
"Oki Electric Industry Co., Ltd.",2
Arizona Board Of Regents On Behalf Of Northern Arizona University,2
Arizona Board Of Regents On Behalf Of The University Of Arizona,2
Ohio State Innovation Foundation,2
"Oculir, Inc.",2
Brightway Vision Ltd.,2
"Nxp Usa, Inc.",2
"Boe Technology Group Co., Ltd., Beijing Boe Optoelectronics Technology Co., Ltd.",2
Board Of Trustees Of The University Of Illinois,2
Nutech Ventures,2
At&T Corp.,2
"Quantumxchange, Inc.",2
Mary Hitchcock Memorial Hospital,2
"Ljl Biosystems, Inc.",2
Semiconductor Manufacturing International (Shanghai) Corporation,2
Dalian University Of Technology,2
"Magic Leap, Inc.",2
Sarnoff Corporation,2
Marcos Kleinerman,2
Cubic Corporation,2
Martin Marietta Corporation,2
Siemens Healthcare Gmbh,2
Elpis Technologies Inc.,2
Ellen Tuanying Chen,2
Newsouth Innovations Pty Limited,2
Shenzhen University,2
"Seth Lloyd, Vittorio Giovannetti, Lorenzo Maccone",2
Masimo Corporation,2
"Rigetti & Co., Inc.",2
City University Of Hong Kong,2
"Meta Platforms Technologies, Llc",2
Renesas Electronics Corporation,2
Regents Of The University Of Minnesota,2
"Ravenbrick, Llc",2
Ravenbrick Llc,2
"Medtronic Minimed, Inc.",2
Riken,2
Council Of Scientific & Industrial Research,2
Rydberg Technologies Inc.,2
"Cornell Research Foundation, Inc.",2
Mediatek Inc.,2
"Roche Diabetes Care, Inc.",2
Colorado School Of Mines,2
"Qubitekk, Inc.",2
University Of Pittsburgh Of The Commonwealth System Of Higher Education,2
University Of Puerto Rico,2
University Of Science And Technology Of China,2
University Of Oregon,2
"University Of Maryland, College Park, The United States of America, as represented by the Director, National Security Agency",2
William Marsh Rice University,2
"University Of Maryland, Baltimore",2
Veea Inc.,2
Vialogy Corp.,2
University-Industry Cooperation Group Of Kyung Hee University,2
Volkswagen Aktiengesellschaft,2
"Vadient Optics, Llc",2
"United Epitaxy Company, Ltd.",2
"Uchicago Argonne, Llc",2
"UltimatePointer, L.L.C.",2
"Ultradots, Inc.",2
Xanadu Quantum Technologies Inc.,2
Zetetic Institute,2
Universite De Geneve,2
U.S. Philips Corporation,2
"Zhongshan Hospital, Fudan University",2
"Munisamy Anandan, Aris K Silzars",1
Musc Foundation For Research Development,1
Nagel Maschinen-Und Werkzeugfabrik Gmbh,1
Pawan Tyagi,1
Yamaha Hatsudoki Kabushiki Kaisha,1
Nanometrics Incorporated,1
National Tsing Hua University,1
"Nanogen, Inc.",1
National University Corporation Shizuoka University,1
"Nanodynamics-88, Inc.",1
National Yang Ming Chiao Tung University,1
"Nanotek Instruments, Inc.",1
Paul Lippke Gmbh Und Co. Kg,1
"Nanochips, Inc.",1
"Nanjing University, Feng Yan",1
Nanjing University Of Posts And Telecommunications,1
"National Research Council Of Canada, The Governors Of The University Of Alberta",1
Yokogawa Electric Corporation,1
National Science Council,1
Pelican Imaging Corporation,1
"Paypal, Inc.",1
National Instruments Corporation,1
"National Institute Of Information And Communications Technology, Incorporated Administrative Agency",1
