assignee,count
荷蘭商Ａｓｍｌ荷蘭公司,4
香港商阿里巴巴集團服務有限公司,3
美商英特爾股份有限公司,3
"約翰尼斯 波蘭尼, 尼雅茲 貝森古洛夫, 大衛 里斯",2
美商光程研創股份有限公司,2
美商克萊譚克公司,2
美商富克有限公司,2
阿證科技股份有限公司,2
美商康寧公司,2
英商納諾柯２Ｄ技術有限公司,1
美商艾伯維有限公司,1
美商萬國商業機器公司,1
美商蘭姆研究公司,1
美商輝瑞股份有限公司,1
南韓商三星電子股份有限公司,1
南韓商三星顯示器有限公司,1
南韓商三星Ｓｄｉ股份有限公司,1
台灣積體電路製造股份有限公司,1
吳國成,1
國立政治大學,1
國立研究開發法人科學技術振興機構,1
中原大學,1
中國北京師範大學,1
加拿大商光子公司,1
國立陽明交通大學,1
美商奧斯特公司,1
晟森科技有限公司,1
美商傲思丹度科技公司,1
美商札帕塔運算股份有限公司,1
美商盧曼頓運作有限公司,1
大陸商納晶科技股份有限公司,1
大陸商芯恩（青島）積體電路有限公司,1
大陸商萬民半導體（澳門）有限公司,1
大陸商蘇州瑞博生物技術股份有限公司,1
日商昭榮化學工業股份有限公司,1
日商濱松赫德尼古斯股份有限公司,1
