assignee,count
日本電信電話株式会社,42
インターナショナル・ビジネス・マシーンズ・コーポレーション,30
株式会社東芝,25
グーグル エルエルシー,11
日本電気株式会社,11
独立行政法人科学技術振興機構,11
"インターナショナル・ビジネス・マシーンズ・コーポレーションＩｎｔｅｒｎａｔｉｏｎａｌ Ｂｕｓｉｎｅｓｓ Ｍａｃｈｉｎｅｓ Ｃｏｒｐｏｒａｔｉｏｎ, インターナショナル・ビジネス・マシーンズ・コーポレーション",10
セイコーエプソン株式会社,8
富士通株式会社,8
三菱電機株式会社,8
株式会社日立製作所,7
ケーエルエー コーポレイション,6
ベイジン バイドゥ ネットコム サイエンス テクノロジー カンパニー リミテッド,6
イオンキュー インコーポレイテッド,5
"イェール ユニバーシティーＹａｌｅ Ｕｎｉｖｅｒｓｉｔｙ, イェール  ユニバーシティー",5
"グーグル エルエルシー, グーグル  エルエルシー",5
アリババ グループ ホウルディング リミテッド,4
アップル インコーポレイテッド,4
ソニー株式会社,4
"コーニンクレッカ フィリップス エヌ ヴェＫｏｎｉｎｋｌｉｊｋｅ Ｐｈｉｌｉｐｓ Ｎ．Ｖ．, コーニンクレッカ  フィリップス  エヌ  ヴェ",4
沖電気工業株式会社,4
"三星電子株式会社Ｓａｍｓｕｎｇ Ｅｌｅｃｔｒｏｎｉｃｓ Ｃｏ．，Ｌｔｄ．, 三星電子株式会社",4
"グーグル エルエルシーＧｏｏｇｌｅ ＬＬＣ, グーグル  エルエルシー",4
大塚電子株式会社,3
国立大学法人横浜国立大学,3
ヒューレット−パッカード  デベロップメント  カンパニー  エル．ピー．,3
ノースロップ グラマン システムズ コーポレーション,3
"ノースロップ グラマン システムズ コーポレーション, ノースロップ  グラマン  システムズ  コーポレーション",3
テンセント・テクノロジー・（シェンジェン）・カンパニー・リミテッド,3
ディー−ウェイブ  システムズ，インコーポレイテッド,3
ベンタナ・メデイカル・システムズ・インコーポレーテツド,3
"インターナショナル・ビジネス・マシーンズ・コーポレーションInternational Business Machines Corporation, インターナショナル・ビジネス・マシーンズ・コーポレーション",3
コニカミノルタ株式会社,3
第一三共株式会社,3
旭化成エレクトロニクス株式会社,3
"日本電信電話株式会社, 国立大学法人大阪大学",3
独立行政法人産業技術総合研究所,3
独立行政法人情報通信研究機構,3
クオンティニュアム エルエルシー,3
"インテル コーポレイション, インテル  コーポレイション",3
"メイヨ フォンデーシヨン フォー メディカル エジュケーション アンド リサーチ, メイヨ  フォンデーシヨン  フォー  メディカル  エジュケーション  アンド  リサーチ",2
株式会社日立ハイテクノロジーズ,2
独立行政法人理化学研究所,2
パリティ クオンタム コンピューティング ゲーエムベーハー,2
中国科学技▲術▼大学,2
国立研究開発法人産業技術総合研究所,2
国立研究開発法人科学技術振興機構,2
新エネルギー産業株式会社,2
ルーセント  テクノロジーズ  インコーポレーテッド,2
株式会社半導体エネルギー研究所,2
株式会社リコー,2
"日本電気株式会社, 独立行政法人科学技術振興機構",2
"日本電気株式会社, 独立行政法人理化学研究所",2
"グーグル エルエルシーGoogle LLC, グーグル エルエルシー",2
ノースロップ  グルムマン  システムズ  コーポレイション,2
"ケーエルエー コーポレイション, ケーエルエー  コーポレイション",2
エフ．ホフマン−ラ  ロシュ  アーゲー,2
オーストリアン・リサーチ・センターズ・ゲゼルシャフト・ミット・ベシュレンクテル・ハフツング−アーエルツェー,2
ザイゴ  コーポレーション,2
アルカテル−ルーセント,2
"アイディー クアンティック エス．アー．, アイディー  クアンティック  エス．アー．",2
インテル・コーポレーション,2
ディー－ウェイブ システムズ インコーポレイテッド,2
"ディー−ウェイブ システムズ インコーポレイテッド, ディー−ウェイブ  システムズ  インコーポレイテッド",2
ザ  トラスティーズ  オブ  プリンストン  ユニヴァシティ,2
シャープ株式会社,2
"ノースロップ グルムマン システムズ コーポレイション, ノースロップ  グルムマン  システムズ  コーポレイション",2
"ザ  トラスティーズ  オブ  プリンストン  ユニヴァシティ, ザ  リージェンツ  オブ  ザ  ユニヴァシティ  オブ  ミシガン",1
"ザ スクリプス リサーチ インスティテュート, ザ  スクリプス  リサーチ  インスティテュート",1
学校法人  学習院,1
学校法人慶應義塾,1
"ザ ボード オブ トラスティーズ オブ ザ レランド スタンフォード ジュニア ユニバーシティー, ザ  ボード  オブ  トラスティーズ  オブ  ザ  レランド  スタンフォード  ジュニア  ユニバーシティー",1
新日鉄住金化学株式会社,1
シュルンベルジェ  ホールディングス  リミテッド,1
富士フイルム株式会社,1
学校法人立命館,1
ザ ユニバーシティ オブ シカゴ,1
"富士通株式会社, 日本電気株式会社, 財団法人国際超電導産業技術研究センター",1
富士電機株式会社,1
ザ ユニバーシティ オブ ノース カロライナ アット チャペル ヒル,1
広東尤科泊得科技発展有限公司,1
アイディー クアンティック エス．アー．,1
"日本電信電話株式会社, 国立大学法人 東京大学, 国立大学法人  東京大学, 大学共同利用機関法人情報・システム研究機構",1
シュロン エナジー テクノロジー カンパニー リミテッド,1
サムスン エスディアイ カンパニー，リミテッド,1
"日本電信電話株式会社, 国立大学法人東北大学",1
"アイディー クアンティークＩｄ Ｑｕａｎｔｉｑｕｅ, アイディー  クアンティーク",1
"日本電信電話株式会社, 大学共同利用機関法人情報・システム研究機構",1
国立大学法人京都大学,1
"日本電信電話株式会社, 三菱電機株式会社",1
日本写真印刷株式会社,1
"国立大学法人京都大学, 国立大学法人大阪大学",1
日本放送協会,1
"サントル ナショナル ドゥ ラ ルシェルシュ シアンティフィク, サントル  ナショナル  ドゥ  ラ  ルシェルシュ  シアンティフィク, ユニヴェルシテ ドゥ ニース ソフィア アンティポリスＵｎｉｖｅｒｓｉｔｅ Ｄｅ Ｎｉｃｅ Ｓｏｐｈｉａ Ａｎｔｉｐｏｌｉｓ, ユニヴェルシテ  ドゥ  ニース  ソフィア  アンティポリス",1
"日本電信電話株式会社, 国立大学法人 東京大学, 国立大学法人  東京大学",1
▲呉▼恩至,1
アイキューエム フィンランド オイ,1
"サントル  ナシオナル  ドゥ  ラ  ルシェルシェサイアンティフィク（セエヌエールエス）, ユニベルシテ  パリ−シュド  オンズ",1
国立大学法人電気通信大学,1
"ザイムワークス インコーポレイティド, ザイムワークス  インコーポレイティド",1
"ザ、トラスティーズ  オブ  プリンストン  ユニバーシティ, ザ  ユニバーシティ  オブ  サザン  カリフォルニア",1
ザ・ボーイング・カンパニー,1
"国立大学法人大阪大学, 国立大学法人九州大学",1
国立大学法人広島大学,1
"シャリフザデー，モーセン, エルマコフ，イゴール，ヴィ, ゲラーマン，ワーナー",1
"国立大学法人東北大学, 国立大学法人北海道大学",1
シナプティクス  インコーポレイテッド,1
"シナプス・ビー．ブイ．Ｓｙｎａｐｓｅ Ｂ．Ｖ．, シナプス・ビー．ブイ．",1
"シアトル ジェネティックス， インコーポレイテッド, シアトル  ジェネティックス，  インコーポレイテッド",1
"大学共同利用機関法人情報・システム研究機構, 日本電信電話株式会社",1
大日本印刷株式会社,1
ザ リサーチ ファウンデーション フォー ザ ステイト ユニバーシティ オブ ニューヨーク,1
太陽誘電株式会社,1
"大学共同利用機関法人情報・システム研究機構, 国立研究開発法人理化学研究所",1
"大学共同利用機関法人情報・システム研究機構, ザ ボード オブ トラスティーズ オブ ザ レランド スタンフォード ジュニア ユニバーシティー, ザ  ボード  オブ  トラスティーズ  オブ  ザ  レランド  スタンフォード  ジュニア  ユニバーシティー",1
国立研究開発法人情報通信研究機構,1
国立研究開発法人理化学研究所,1
"ザ リージェンツ オブ ザ ユニバーシティ オブ カリフォルニア, ザ  リージェンツ  オブ  ザ  ユニバーシティ  オブ  カリフォルニア, オリンパス株式会社",1
日本電子株式会社,1
国立研究開発法人量子科学技術研究開発機構,1
"国立大学法人京都大学, 国立研究開発法人産業技術総合研究所",1
"アプライド マテリアルズ インコーポレイテッドＡｐｐｌｉｅｄ Ｍａｔｅｒｉａｌｓ，Ｉｎｃｏｒｐｏｒａｔｅｄ, アプライド  マテリアルズ  インコーポレイテッド",1
アイディー クワンティック ソシエテ アノニム,1
カティーバ， インコーポレイテッド,1
オスラム・シルバニア・インコーポレイテッド,1
"オスラム オプト セミコンダクターズ ゲゼルシャフト ミット ベシュレンクテル ハフツングＯｓｒａｍ Ｏｐｔｏ Ｓｅｍｉｃｏｎｄｕｃｔｏｒｓ ＧｍｂＨ, オスラム  オプト  セミコンダクターズ  ゲゼルシャフト  ミット  ベシュレンクテル  ハフツング",1
"エレメント シックス リミテッド, エレメント  シックス  リミテッド",1
"独立行政法人産業技術総合研究所, 分光計器株式会社",1
カネスタ  インコーポレイテッド,1
"カーボン ナノ エンジニアリング システムズ コーポレイション, カーボン  ナノ  エンジニアリング  システムズ  コーポレイション",1
"独立行政法人科学技術振興機構, 章久 富田",1
カール  ツァイス  メディテック  アクチエンゲゼルシャフト,1
"独立行政法人科学技術振興機構, 独立行政法人物質・材料研究機構",1
"独立行政法人産業技術総合研究所, 国立大学法人  東京大学",1
カール  ツァイス  メディテック  アクチェン  ゲゼルシャフト,1
"エレメント シックス テクノロジーズ リミテッド, エレメント  シックス  テクノロジーズ  リミテッド, プレジデント アンド フェローズ オブ ハーバード カレッジ, プレジデント  アンド  フェローズ  オブ  ハーバード  カレッジ",1
エックス デベロップメント エルエルシー,1
"エス． カリム、カリム, エー． カニンガム、イアン",1
"エスアールアイ インターナショナルＳＲＩ Ｉｎｔｅｒｎａｔｉｏｎａｌ, エスアールアイ  インターナショナル, 株式会社大林組",1
エシコン エルエルシー,1
"ケーエルエー−テンカー コーポレイション, ケーエルエー−テンカー  コーポレイション",1
"深▲セン▼市▲騰▼▲訊▼▲計▼算机系▲統▼有限公司, ジェジャン・ユニヴァーシティ",1
ケスト  クヴァンテンエレクトロ−ニ−シェ  システ−メ  ゲ−エムベ−ハ−,1
"独立行政法人情報通信研究機構, ユニヴァーシテイ・オブ・ハートフォードシャー, ユニヴァーシティ  オブ  ストラスクライド",1
"エルジー エレクトロニクス インコーポレイティドLg Electronics Inc., エルジー エレクトロニクス インコーポレイティド",1
エルジー・ケミカル・カンパニー・リミテッド,1
"エルジー エレクトロニクス インコーポレイティドＬｇ Ｅｌｅｃｔｒｏｎｉｃｓ Ｉｎｃ．, エルジー  エレクトロニクス  インコーポレイティド",1
キネティック  リミテッド,1
"クオンタム ヴァリー インベストメント ファンド リミテッド パートナーシップ, クオンタム  ヴァリー  インベストメント  ファンド  リミテッド  パートナーシップ",1
Ｓｈｉｍｉｚｕ ｎｃ株式会社,1
"グラクソスミスクライン バイオロジカルズ ソシエテ アノニム, グラクソスミスクライン  バイオロジカルズ  ソシエテ  アノニム",1
クール ファーマシューティカルズ ディベロップメント カンパニー インコーポレイテッド,1
クリスティー デジタル システムズ ユーエスエー インコーポレイティッド,1
"クゥアルコム・インコーポレイテッドＱｕａｌｃｏｍｍ Ｉｎｃｏｒｐｏｒａｔｅｄ, クゥアルコム・インコーポレイテッド",1
"クアンタム デンタル テクノロジーズ インコーポレイテッドＱｕａｎｔｕｍ Ｄｅｎｔａｌ Ｔｅｃｈｎｏｌｏｇｉｅｓ Ｉｎｃ．, クアンタム  デンタル  テクノロジーズ  インコーポレイテッド",1
Ｓｅｍｉｔｅｃ株式会社,1
グラフニード テクノロジー シーオー．，エルティーディー,1
グローバル・オーエルイーディー・テクノロジー・リミテッド・ライアビリティ・カンパニー,1
グローバル レゾナンス テクノロジーズ，エルエルシー,1
グローバス メディカル インコーポレイティッド,1
グルメトリクス、  インク．,1
クアルコム，インコーポレイテッド,1
キヤノン株式会社,1
"華為技術有限公司Ｈｕａｗｅｉ Ｔｅｃｈｎｏｌｏｇｉｅｓ Ｃｏ．，Ｌｔｄ．, 華為技術有限公司",1
キュー３ディーエム  エルエルシー,1
"積水化学工業株式会社, 積水メディカル株式会社",1
キネテイツク・リミテツド,1
ギガフォトン株式会社,1
"クァンタムシーテック カンパニー，リミテッド, クァンタムシーテック  カンパニー，リミテッド, シャンドン インスティテュート オブ クァンタム サイエンス アンド テクノロジー カンパニー，リミテッド, シャンドン  インスティテュート  オブ  クァンタム  サイエンス  アンド  テクノロジー  カンパニー，リミテッド",1
Ｐｈｃ株式会社,1
Ｎｓマテリアルズ株式会社,1
"クァンタムシーテック カンパニー，リミテッド, クァンタムシーテック  カンパニー，リミテッド",1
Ｊｆｅエンジニアリング株式会社,1
"財団法人ファインセラミックスセンター, トヨタ自動車株式会社",1
華碩電腦股▲ふん▼有限公司,1
"キンダイ、インコーポレイテッドKyndi, Inc., キンダイ、インコーポレイテッド",1
