search URL:,https://patents.google.com/?q=%28Quantum+Teleportation%29&oq=Quantum+Teleportation
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11170318-B2,"Multi-photon, multi-dimensional hyper-entanglement using higher-order radix qudits with applications to quantum computing, QKD and quantum teleportation ","Nxgen Partners Ip, Llc",Solyman Ashrafi,2019-10-31,2020-05-13,2021-11-09,2021-11-09,https://patents.google.com/patent/US11170318B2/en,https://patentimages.storage.googleapis.com/46/0f/91/ea8140412e842b/US11170318-20211109-D00000.png
JP-7141507-B2,"Quantum entanglement processing method, apparatus, electronic device, storage medium, and program ",ベイジン バイドゥ ネットコム サイエンス テクノロジー カンパニー リミテッド,"ワン，シン, ジャオ，シュアンチャン, ジャオ，ベンチ, ワン，ジヘ, ソン，ツーシン, リウ，レンユ",2020-12-23,2021-09-07,2022-09-22,2022-09-22,https://patents.google.com/patent/JP7141507B2/en,https://patentimages.storage.googleapis.com/ca/61/96/cca5f68fc5ba1e/0007141507000014.png
KR-101849457-B1,"Method of distillating quantum entanglement comprising, quantun repeater and method for relaing quantun using the same ",한양대학교 에리카산학협력단,권영헌,2015-09-21,2016-06-28,2018-04-17,2018-04-17,https://patents.google.com/patent/KR101849457B1/en,https://patentimages.storage.googleapis.com/8a/12/99/b6bc650b51a4c5/112016062549614-pat00128.png
CN-109617620-A,Multi-hop quantum teleportation method based on channel error correction ,苏州大学,"付粉香, 姜敏, 夏志新, 孙兵, 黄旭",2019-02-25,2019-02-25,2019-04-12,,https://patents.google.com/patent/CN109617620A/en,
WO-2023115696-A1,High-dimensional multi-hop lossless quantum teleportation method for channel modulation right transfer ,苏州大学,"汪澳, 姜敏, 丁祎, 刘芹, 苗天宇, 孙兵, 陈虹",2021-12-21,2022-02-28,2023-06-29,,https://patents.google.com/patent/WO2023115696A1/en,https://patentimages.storage.googleapis.com/ba/73/57/0190e72e76f4d2/PCTCN2022078320-appb-300001.png
US-7570419-B2,Quantum entanglement photon-pair producing device and quantum entanglement photon pair producing method ,Japan Science And Technology Agency,"Keiichi Edamatsu, Ryosuke Shimizu",2006-03-03,2007-03-01,2009-08-04,2009-08-04,https://patents.google.com/patent/US7570419B2/en,https://patentimages.storage.googleapis.com/9b/65/21/674dbbd365a04e/US07570419-20090804-D00000.png
CN-104618031-B,The method of the bi-direction controlled quantum teleportation of unknown any two particle ,四川师范大学,"彭家寅, 莫智文, 柏明强, 陈晴雷",2015-02-12,2015-02-12,2017-06-09,2017-06-09,https://patents.google.com/patent/CN104618031B/en,
US-11496225-B2,System and method for network distribution of quantum entanglement ,"At&T Intellectual Property I, L.P.",Moshiur Rahman,2019-12-06,2019-12-06,2022-11-08,2022-11-08,https://patents.google.com/patent/US11496225B2/en,https://patentimages.storage.googleapis.com/80/c7/e2/71497368485dc0/US11496225-20221108-D00000.png
JP-2013254201-A,System and method for quantum teleportation ,"Toshiba Corp, 株式会社東芝","Richard Mark Stevenson, リチャード・マーク・スティーブンソン, Brian Ward Martin, マーティン・ブライアン・ワード, Anthony John Bennett, アンソニー・ジョン・ベネット, Krystyna Skiba-Szymanska Joanna, ジョアンナ・クリスティナ・スキバ−スジマンスカ, James Shields Andrew, アンドリュー・ジェームズ・シールズ",2012-05-16,2013-05-16,2013-12-19,,https://patents.google.com/patent/JP2013254201A/en,https://patentimages.storage.googleapis.com/71/6d/61/31663907cb5ae4/2013254201-11.png
KR-101803541-B1,"Method for increasing quantum entanglement, quantum repeating method and quantum repeater using thereof ",한양대학교 에리카산학협력단,"권영헌, 장진호, 배준우",2011-06-30,2011-06-30,2017-12-12,2017-12-12,https://patents.google.com/patent/KR101803541B1/en,https://patentimages.storage.googleapis.com/71/0b/f5/d0f4dc044277c7/112011050059645-pat00039.png
CN-108880790-A,A kind of quantum ballot system and method based on quantum teleportation ,华南师范大学,"郭邦红, 曾涵宇, 胡敏, 张立涛, 冉攀",2018-05-28,2018-05-28,2018-11-23,,https://patents.google.com/patent/CN108880790A/en,
US-9264225-B1,Quantum communication using quantum teleportation ,The Boeing Company,"Jeffrey H. Hunt, Wayne R. Howe",2013-02-27,2013-02-27,2016-02-16,2016-02-16,https://patents.google.com/patent/US9264225B1/en,https://patentimages.storage.googleapis.com/a1/31/0c/793aeb98b53f39/US09264225-20160216-D00000.png
CN-108768623-A,A kind of Quantum Teleportation communication means transmitting 4 particle states based on 5 particle Brown states ,西北大学,"曹正文, 梁可心, 宋丹, 曾贵华, 彭进业, 贺晨, 杨涛, 张明慧",2018-04-11,2018-04-11,2018-11-06,,https://patents.google.com/patent/CN108768623A/en,
CN-106685649-B,A kind of multi-point cooperative transmission method based on quantum entanglement exchange ,北京航空航天大学,"尚涛, 杜岗, 李珂, 雷奇, 关振宇, 刘建伟",2016-12-15,2016-12-15,2019-10-11,2019-10-11,https://patents.google.com/patent/CN106685649B/en,
CN-108270788-A,A kind of method based on quantum teleportation structure Virtual Private Network ,河南理工大学,"张利伟, 余伟阳, 蔡小琳, 刘玉金, 王宝基, 王新良",2018-01-23,2018-01-23,2018-07-10,,https://patents.google.com/patent/CN108270788A/en,
JP-2016012877-A,"Quantum entanglement generation method, quantum entanglement generation device, quantum communication apparatus, quantum communication system, quantum communication method and projection measuring method ","富士通株式会社, Fujitsu Ltd","利雄 大島, Toshio Oshima, 利雄 大島",2014-06-30,2014-06-30,2016-01-21,,https://patents.google.com/patent/JP2016012877A/en,
CN-110086547-A,The adjustable any unknown optimal controlled quantum teleportation method of n particle of threshold value ,苏州大学,"王宏基, 姜敏, 陈晨, 孙兵, 黄旭",2019-05-10,2019-05-10,2019-08-02,,https://patents.google.com/patent/CN110086547A/en,
CN-108228072-A,Quantum Teleportation cloud intelligent interaction show window stream matchmaker manages system and method ,妫汭智能科技（上海）有限公司,宋佳星,2018-01-03,2018-01-03,2018-06-29,,https://patents.google.com/patent/CN108228072A/en,
CN-109257171-A,A kind of method and system promoting quantum entanglement interface number ,广东水利电力职业技术学院（广东省水利电力技工学校）,"邵忠良, 龙银香, 黄诚, 邓桂芳, 曹薇",2018-11-15,2018-11-15,2019-01-22,,https://patents.google.com/patent/CN109257171A/en,
CN-106452751-B,Mining high-voltage power grid definite value transmission method based on quantum entanglement and channel self checking ,河南理工大学,"王新良, 黄青改, 付萌萌",2016-10-31,2016-10-31,2019-03-26,2019-03-26,https://patents.google.com/patent/CN106452751B/en,
