search URL:,https://patents.google.com/?q=%28Quantum+Supremacy%29&oq=Quantum+Supremacy
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-4272192-B2,Safe transaction management method ,インタートラスト  テクノロジーズ  コーポレイション,"エル． ジンター，カール, エイチ． シェアー，ビクター, ジェイ． スパーン，フランシス, ウィー，デイビッド  エム． バン",1995-02-13,2005-08-30,2009-06-03,2009-06-03,https://patents.google.com/patent/JP4272192B2/en,https://patentimages.storage.googleapis.com/4d/f6/b1/298af49d7c6014/0004272192-29.png
US-11699004-B2,Method and system for quantum computing ,Alibaba Group Holding Limited,"Jianxin Chen, Fang Zhang, Yaoyun Shi, Jiachen Huang, Michael Newman",2018-04-27,2021-03-19,2023-07-11,2023-07-11,https://patents.google.com/patent/US11699004B2/en,https://patentimages.storage.googleapis.com/d4/81/61/566e3aa55c9003/US11699004-20230711-D00000.png
US-8468244-B2,Digital information infrastructure and method for security designated data and with granular data stores ,"Digital Doors, Inc.","Ron M. Redlich, Martin A. Nemzow",2007-01-05,2009-04-29,2013-06-18,2013-06-18,https://patents.google.com/patent/US8468244B2/en,https://patentimages.storage.googleapis.com/55/45/14/8b45e0cbead70e/US08468244-20130618-D00000.png
JP-7287705-B2,Quantum Computation for Combinatorial Optimization Problems Using Programmable Atomic Arrays ,プレジデント アンド フェローズ オブ ハーバード カレッジ,"ピヒラー，ハネス, ワン，シェンタオ, チョウ，レオ，シアンユー, チェ，スーンウォン, ルーキン，ミハイル，ディー．",2018-08-31,2019-08-30,2023-06-06,2023-06-06,https://patents.google.com/patent/JP7287705B2/en,https://patentimages.storage.googleapis.com/b9/0a/75/08ed7284e12043/0007287705000788.png
EP-3682383-B1,Simulation of quantum circuits ,Google LLC,"Sergio Boixo CASTRILLO, Vadim SMELYANSKIY",2017-10-18,2017-12-18,2022-09-21,2022-09-21,https://patents.google.com/patent/EP3682383B1/en,https://patentimages.storage.googleapis.com/a4/2f/49/cfbf7ed58a41f5/imgf0001.png
US-11250341-B2,"System, method and computer readable medium for quassical computing ",Lockheed Martin Corporation,"Edward H. Allen, Luke A. Uribarri, Kristen L. Pudenz",2017-09-07,2018-09-07,2022-02-15,2022-02-15,https://patents.google.com/patent/US11250341B2/en,https://patentimages.storage.googleapis.com/d7/a7/94/b1f3ff6570238a/US11250341-20220215-D00000.png
US-10567975-B2,Multifactorial optimization system and method ,Hoffberg Family Trust 2,Steven M. Hoffberg,2005-10-04,2017-03-31,2020-02-18,2020-02-18,https://patents.google.com/patent/US10567975B2/en,https://patentimages.storage.googleapis.com/3e/d8/16/346c60bae330cf/US10567975-20200218-D00000.png
CN-1961288-B,Methods and apparatus for accessing process control data ,费舍-柔斯芒特系统股份有限公司,"斯蒂芬·吉尔伯特, 斯蒂芬·G·汉莫克, 周玲, 迈克尔·J·卢卡斯, 马克·J·尼克松",2004-05-04,2005-05-04,2011-06-01,2011-06-01,https://patents.google.com/patent/CN1961288B/en,https://patentimages.storage.googleapis.com/2a/66/57/6013fc1b68981d/S05814527920061108E000031.png
US-9805020-B2,In-context access of stored declarative knowledge using natural language expression ,"Deep Sky Concepts, Inc.","John G. Gorman, John W. R. Gorman",2009-04-23,2015-02-06,2017-10-31,2017-10-31,https://patents.google.com/patent/US9805020B2/en,https://patentimages.storage.googleapis.com/7d/3b/03/b8d9ffb1606991/US09805020-20171031-D00000.png
US-8972445-B2,Systems and methods for storage of declarative knowledge accessible by natural language in a computer capable of appropriately responding ,"Deep Sky Concepts, Inc.","John G. Gorman, John W. R. Gorman",2009-04-23,2013-01-22,2015-03-03,2015-03-03,https://patents.google.com/patent/US8972445B2/en,https://patentimages.storage.googleapis.com/7c/cd/9c/cbeeee61520c77/US08972445-20150303-D00000.png
US-11193034-B2,Hybrid nanoparticles as photoinitiators ,Yissum Research Development Company Of The Hebrew University Of Jerusalem Ltd.,"Uri Banin, Hermona Soreq, Shlomo Magdassi, Nir WAISKOPF, Yuval BEN-SHAHAR, Amol ASHOK PAWAR, Shira HALIVNI",2015-06-29,2019-08-27,2021-12-07,2021-12-07,https://patents.google.com/patent/US11193034B2/en,https://patentimages.storage.googleapis.com/71/b5/a2/50550e5f178c35/US11193034-20211207-D00000.png
US-8994013-B2,"Light-emitting element, light-emitting device, display device, electronic device, and lighting device ","Semiconductor Energy Laboratory Co., Ltd.",Satoshi Seo,2012-05-18,2013-05-13,2015-03-31,2015-03-31,https://patents.google.com/patent/US8994013B2/en,https://patentimages.storage.googleapis.com/db/8d/03/88bf34b4759230/US08994013-20150331-D00000.png
TW-I721122-B,"Data secure transmission method, client and server method, device and system ",香港商阿里巴巴集團服務有限公司,"付穎芳, 劉拴林",2016-05-19,2017-03-06,2021-03-11,2021-03-11,https://patents.google.com/patent/TWI721122B/en,https://patentimages.storage.googleapis.com/86/bc/9c/624d8a23526e00/106107246-A0202-14-0001-1.png
CN-106168799-B,A method of batteries of electric automobile predictive maintenance is carried out based on big data machine learning ,常伟,"常伟, 金樟平, 李舰",2016-06-30,2016-06-30,2019-05-03,2019-05-03,https://patents.google.com/patent/CN106168799B/en,
CN-105392898-B,Hybridize the molecule multiple labelling of raddle shape code by sequence ,加州理工学院,"龙·蔡, 埃里克·吕贝克, 铁木尔·契彦塔耶夫, 阿梅特·科斯坤, 庭-芳·何, 长·赫·孙, 希尔·沙哈",2013-04-30,2014-04-30,2019-11-01,2019-11-01,https://patents.google.com/patent/CN105392898B/en,
EP-3087621-B1,N-doped semiconducting material comprising phosphine oxide matrix and metal dopant ,Novaled GmbH,"Mike Zöllner, Ansgar Werner, Thomas Rosenow, Carsten Rothe, Jan Birnstock, Tobias Canzler, Ulrich Denker, Omrane Fadhel, Francisco Bloom, Tomas Kalisz, Kai Gilge, Jens Angermann",2013-12-23,2014-12-23,2019-04-17,2019-04-17,https://patents.google.com/patent/EP3087621B1/en,https://patentimages.storage.googleapis.com/94/b5/a0/e68792907eb2d4/imgf0001.png
CN-103852817-B,A kind of quantum dot film that is applied to backlight module ,宁波激智科技股份有限公司,"刘志鹏, 李刚, 唐海江, 张彦",2014-03-14,2014-03-14,2016-05-11,2016-05-11,https://patents.google.com/patent/CN103852817B/en,
