search URL:,https://patents.google.com/?q=%28Quantum+Speedup%29&oq=Quantum+Speedup
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3304436-A1,"Fast low-memory methods for bayesian inference, gibbs sampling and deep learning ","Microsoft Technology Licensing, LLC","Nathan Wiebe, Ashish Kapoor, Krysta Svore, Christopher GRANADE",2015-06-04,2016-05-18,2018-04-11,,https://patents.google.com/patent/EP3304436A1/en,
US-2003164490-A1,Optimization method for quantum computing process ,Alexandre Blais,Alexandre Blais,2001-02-13,2001-02-13,2003-09-04,,https://patents.google.com/patent/US20030164490A1/en,https://patentimages.storage.googleapis.com/95/31/ad/46c6c56adae5d9/US20030164490A1-20030904-D00000.png
US-11562282-B2,Optimized block encoding of low-rank fermion Hamiltonians ,"Microsoft Technology Licensing, Llc",Guang Hao Low,2020-03-05,2020-03-05,2023-01-24,2023-01-24,https://patents.google.com/patent/US11562282B2/en,https://patentimages.storage.googleapis.com/f6/9d/06/34851a0736db2c/US11562282-20230124-D00000.png
US-2022358394-A1,Quantum data processing system ,Google Llc,Jarrod Ryan McClean,2021-04-27,2022-04-27,2022-11-10,,https://patents.google.com/patent/US20220358394A1/en,https://patentimages.storage.googleapis.com/e0/51/cb/5481fbbe5469da/US20220358394A1-20221110-D00000.png
US-8112625-B2,Systems and methods for secure transaction management and electronic rights protection ,Intertrust Technologies Corporation,"Karl L. Ginter, Victor H. Shear, Francis J. Spahn, David M. Van Wie",1995-02-13,2010-09-29,2012-02-07,2012-02-07,https://patents.google.com/patent/US8112625B2/en,https://patentimages.storage.googleapis.com/75/1c/08/4da48fc341c6b4/US08112625-20120207-D00000.png
US-7877333-B2,Method and system for solving integer programming and discrete optimization problems using analog processors ,D-Wave Systems Inc.,William Macready,2006-09-06,2007-09-05,2011-01-25,2011-01-25,https://patents.google.com/patent/US7877333B2/en,https://patentimages.storage.googleapis.com/d0/e4/1c/721834172aec5a/US07877333-20110125-D00000.png
US-7932515-B2,Quantum processor ,D-Wave Systems Inc.,Paul I. Bunyk,2008-01-03,2008-08-19,2011-04-26,2011-04-26,https://patents.google.com/patent/US7932515B2/en,https://patentimages.storage.googleapis.com/c2/8b/bc/0ff0502559fc21/US07932515-20110426-D00000.png
US-2021342730-A1,System and method of quantum enhanced accelerated neural network training ,equal1.labs Inc.,"David J. Redmond, Dirk Robert Walter Leipold",2020-05-01,2021-05-01,2021-11-04,,https://patents.google.com/patent/US20210342730A1/en,https://patentimages.storage.googleapis.com/35/d8/e9/443cb31d9bc167/US20210342730A1-20211104-D00000.png
US-11615329-B2,Hybrid quantum-classical computer for Bayesian inference with engineered likelihood functions for robust amplitude estimation ,"Zapata Computing, Inc.","Guoming Wang, Enshan Dax Koh, Peter D. Johnson, Yudong Cao, Pierre-Luc Dallaire-Demers",2019-06-14,2020-06-14,2023-03-28,2023-03-28,https://patents.google.com/patent/US11615329B2/en,https://patentimages.storage.googleapis.com/7a/68/bd/11c62c45b73873/US11615329-20230328-D00000.png
US-9152746-B2,Quantum annealing simulator ,"Microsoft Technology Licensing, Llc","Matthias Troyer, David B. Wecker, Bela Bauer",2013-03-26,2013-03-26,2015-10-06,2015-10-06,https://patents.google.com/patent/US9152746B2/en,https://patentimages.storage.googleapis.com/4f/e6/4d/0b6bdcde186fdb/US09152746-20151006-D00000.png
US-10956830-B1,Operating a quantum processor in a heterogeneous computing architecture ,"Rigetti & Co, Inc.","Chad Tyler Rigetti, William J. Zeng, Dane Christoffer THOMPSON",2014-08-11,2020-03-30,2021-03-23,2021-03-23,https://patents.google.com/patent/US10956830B1/en,https://patentimages.storage.googleapis.com/e7/1a/3e/354d2d7beb42bd/US10956830-20210323-D00000.png
US-10826845-B2,Methods and systems for quantum computing ,1Qb Information Technologies Inc.,"Majid Dadashikelayeh, Arman ZARIBAFIYAN, Sahar Karimi, Pooya RONAGH",2016-05-26,2018-06-15,2020-11-03,2020-11-03,https://patents.google.com/patent/US10826845B2/en,https://patentimages.storage.googleapis.com/ec/e2/ee/958f6c7e9b6a8a/US10826845-20201103-D00000.png
WO-2023273045-A1,"Method and apparatus for acquiring ground state of quantum system, device, medium and program product ",腾讯科技（深圳）有限公司,"陈玉琴, 张士欣, 张胜誉",2021-06-29,2021-10-25,2023-01-05,,https://patents.google.com/patent/WO2023273045A1/en,https://patentimages.storage.googleapis.com/d7/96/b7/64f6d952f537a6/PCTCN2021126203-appb-300001.png
US-11416228-B2,System and method of optimizing instructions for quantum computers ,The University Of Chicago,"Frederic T. Chong, I Yunong Shi, Nelson Leung, Pranav Gokhale, Henry HOFFMANN, David Schuster",2018-09-13,2019-09-12,2022-08-16,2022-08-16,https://patents.google.com/patent/US11416228B2/en,https://patentimages.storage.googleapis.com/41/9b/0a/a4957d67de06d0/US11416228-20220816-D00000.png
US-11250341-B2,"System, method and computer readable medium for quassical computing ",Lockheed Martin Corporation,"Edward H. Allen, Luke A. Uribarri, Kristen L. Pudenz",2017-09-07,2018-09-07,2022-02-15,2022-02-15,https://patents.google.com/patent/US11250341B2/en,https://patentimages.storage.googleapis.com/d7/a7/94/b1f3ff6570238a/US11250341-20220215-D00000.png
EP-4200767-A1,Quantum generative adversarial networks with provable convergence ,Google LLC,"Yuezhen NIU, Hartmut Neven, Vadim SMELYANSKIY, Sergio Boixo Castrillo",2021-03-12,2022-03-10,2023-06-28,,https://patents.google.com/patent/EP4200767A1/en,
US-2008034406-A1,Systems and methods for secure transaction management and electronic rights protection ,Intertrust Technologies Corp.,"Karl Ginter, Victor Shear, W. Sibert, Francis Spahn, David Van Wie",1995-02-13,2007-08-20,2008-02-07,,https://patents.google.com/patent/US20080034406A1/en,https://patentimages.storage.googleapis.com/3c/77/12/95d12f2610eccc/US20080034406A1-20080207-D00000.png
